name_id,name,yrdb_id,ch_pinyin,attestation
nm_0460,歷城縣,yrdb369,licheng xian, ds_211
nm_0461,歷城縣,yrdb369,licheng xian, ds_474
nm_0462,歷城縣,yrdb369,licheng xian, ds_495
nm_0463,歷城縣,yrdb369,licheng xian, ds_745
nm_0464,歷城縣,yrdb369,licheng xian, ds_1051
nm_0465,厭次,yrdb370,yanci,ds_1258
nm_0466,厚子鎮,yrdb371,houzi zhen,us_80250
nm_0467,厚畛子,yrdb372,houzhenzi,us_80234
nm_0468,原,yrdb373,yuan,us_10023
nm_0469,原鄉,yrdb374,yuan xiang,us_20171
nm_0470,原亭,yrdb375,yuan ting,us_20112
nm_0471,原平站,yrdb376,yuanping zhan,us_70402
nm_0472,原平站,yrdb376,yuanping zhan, us_80852
nm_0473,原村,yrdb378,yuan cun,ds_797
nm_0474,原武,yrdb379,yuanwu,ds_553
nm_0475,原武縣,yrdb380,yuanwu xian,ds_10
nm_0476,原武縣,yrdb380,yuanwu xian, ds_222
nm_0477,原武縣,yrdb380,yuanwu xian, ds_242
nm_0478,原武縣,yrdb380,yuanwu xian, ds_443
nm_0479,原武縣,yrdb380,yuanwu xian, ds_624
nm_0480,原武縣,yrdb380,yuanwu xian, ds_1289
nm_0481,原陽,yrdb381,yuanyang,us_20018
nm_0482,縣頭鎮,yrdb382,xiantou zhen,us_80276
nm_0483,參合陘,yrdb383,canhexing,us_40141
nm_0484,雙城堡,yrdb384,shuangcheng bao,us_81091
nm_0485,雙堌集,yrdb385,shuanggu ji,ds_541
nm_0486,雙山堡,yrdb386,shuangshan bao,us_70334
nm_0487,雙山堡,yrdb386,shuangshan bao, us_80050
nm_0488,雙峰堡,yrdb387,shuangfeng bao,us_70255
nm_0489,雙廟灣,yrdb388,shuangmiao wan,us_80070
