yrdb_id,tr_title,ch_pinyin
yrdb793,寧陵縣,ningling xian
yrdb794,寧魯堡,ninglu bao
yrdb795,守口堡,shoukou bao
yrdb796,安東,andong
yrdb797,山陽縣,shanyang xian
yrdb800,安豐,anfeng
yrdb801,安仁閘,anrenzha
yrdb802,安化寨,anhua zhai
yrdb803,安國鎮,anguo zhen
yrdb804,安夷城,anyi cheng
yrdb805,安寧堡,anning bao
yrdb806,安定堡,anding bao
yrdb807,安家莊,anjia zhuang
yrdb808,安家廟,anjia miao
yrdb809,安宿疃鎮,ansutuan zhen
yrdb810,安山鎮,anshan zhen
yrdb811,安平鎮,anping zhen
yrdb812,安徽,anhui
yrdb813,新關,xin guan
yrdb814,安故縣,angu xian
yrdb815,安昌鎮,anchang zhen
yrdb816,安次,anci
yrdb817,安民城,anmin cheng
yrdb818,安賜堡,anci bao
yrdb819,安邊堡,anbian bao
yrdb820,安陽,anyang
yrdb821,安陵城,anling cheng
yrdb822,安魯,anlu
yrdb823,宋口,song kou
yrdb824,宋國,song guo
yrdb826,宋城縣,songcheng xian
yrdb827,宋城堡,songcheng bao
yrdb828,宋家莊,songjia zhuang
yrdb829,宋家灣,songjia wan
yrdb830,宋州,song zhou
yrdb831,宋店,songdian
yrdb832,宗城,zong cheng
yrdb833,宗艾鎮,zongai zhen
yrdb834,官軍鎮,guanjun zhen
yrdb835,官堡,guan bao
yrdb836,官底鎮,guandi zhen
yrdb837,官橋堡,guanqiao bao
yrdb838,官菜園,guancaiyuan
yrdb839,定國寺,dingguo si
yrdb840,定羌,dingqiang
yrdb841,定襄,dingxiang
yrdb842,定邊營,dingbian ying
yrdb844,定遠驛,dingyuan yi
yrdb845,定鎮,ding zhen
yrdb846,定陽,dingyang
yrdb847,定陶,dingtao
yrdb848,宛馮,wanfeng
yrdb849,宜春苑,yichun yuan
yrdb851,長武縣,changwu xian
yrdb852,寶豐縣,baofeng xian
yrdb853,寶應,baoying
