plest_id,place_id,est_year
plest_0737,yrdb4436,1189
plest_0738,yrdb4437,1189
plest_0739,yrdb4438,612
plest_0740,yrdb4439,612
plest_0741,yrdb4440,612
plest_0742,yrdb4441,612
plest_0743,yrdb4442,612
plest_0744,yrdb4443,612
plest_0745,yrdb4444,612
plest_0746,yrdb4445,612
plest_0747,yrdb4446,612
plest_0748,yrdb4447,612
plest_0749,yrdb4448,612
plest_0750,yrdb4449,612
plest_0751,yrdb4450,612
plest_0752,yrdb4451,612
plest_0753,yrdb4452,612
plest_0754,yrdb4453,612
plest_0755,yrdb4454,612
plest_0756,yrdb4455,612
plest_0757,yrdb4456,612
plest_0758,yrdb4457,612
plest_0759,yrdb4458,612
plest_0760,yrdb4459,612
plest_0761,yrdb4460,612
plest_0762,yrdb4461,612
plest_0763,yrdb4462,612
plest_0764,yrdb4463,612
plest_0765,yrdb4464,612
plest_0766,yrdb4465,612
plest_0767,yrdb4466,612
plest_0768,yrdb4467,612
plest_0769,yrdb4468,741
plest_0770,yrdb4469,741
plest_0771,yrdb4470,741
plest_0772,yrdb4471,741
plest_0773,yrdb4472,741
plest_0774,yrdb4473,741
plest_0775,yrdb4474,741
plest_0776,yrdb4475,741
plest_0777,yrdb4476,741
plest_0778,yrdb4477,741
plest_0779,yrdb4478,741
plest_0780,yrdb4479,741
plest_0781,yrdb4480,741
plest_0782,yrdb4481,741
plest_0783,yrdb4482,741
plest_0784,yrdb4483,741
plest_0785,yrdb4484,741
plest_0786,yrdb4485,741
plest_0787,yrdb4486,741
plest_0788,yrdb4487,741
plest_0789,yrdb4488,741
plest_0790,yrdb4489,741
plest_0791,yrdb4490,741
plest_0792,yrdb4491,741
plest_0793,yrdb4492,741
plest_0794,yrdb4493,741
plest_0795,yrdb4494,741
plest_0796,yrdb4495,741
plest_0797,yrdb4496,741
plest_0798,yrdb4497,741
plest_0799,yrdb4498,741
plest_0800,yrdb4499,741
plest_0801,yrdb4500,741
plest_0802,yrdb4501,741
plest_0803,yrdb4502,741
plest_0804,yrdb4503,741
plest_0805,yrdb4504,741
plest_0806,yrdb4505,741
plest_0807,yrdb4506,741
plest_0808,yrdb4507,741
plest_0809,yrdb4508,741
plest_0810,yrdb4509,741
plest_0811,yrdb4510,741
plest_0812,yrdb4511,741
plest_0813,yrdb4512,741
plest_0814,yrdb4513,741
plest_0815,yrdb4514,741
plest_0816,yrdb4515,741
plest_0817,yrdb4516,741
plest_0818,yrdb4517,741
plest_0819,yrdb4518,741
plest_0820,yrdb4519,741
plest_0821,yrdb4520,741
plest_0822,yrdb4521,741
plest_0823,yrdb4522,741
plest_0824,yrdb4523,741
plest_0825,yrdb4524,741
plest_0826,yrdb4525,741
plest_0827,yrdb4526,741
plest_0828,yrdb4527,741
plest_0829,yrdb4528,741
plest_0830,yrdb4529,741
plest_0831,yrdb4530,741
plest_0832,yrdb4531,741
plest_0833,yrdb4532,741
plest_0834,yrdb4533,741
plest_0835,yrdb4534,741
plest_0836,yrdb4535,741
plest_0837,yrdb4536,741
plest_0838,yrdb4537,741
plest_0839,yrdb4538,741
plest_0840,yrdb4539,741
plest_0841,yrdb4540,741
plest_0842,yrdb4541,741
plest_0843,yrdb4542,741
plest_0844,yrdb4543,741
plest_0845,yrdb4544,741
plest_0846,yrdb4545,741
plest_0847,yrdb4546,741
plest_0848,yrdb4547,741
plest_0849,yrdb4548,741
plest_0850,yrdb4549,741
plest_0851,yrdb4550,741
plest_0852,yrdb4551,741
plest_0853,yrdb4552,741
plest_0854,yrdb4553,741
plest_0855,yrdb4554,741
plest_0856,yrdb4555,741
plest_0857,yrdb4556,741
plest_0858,yrdb4557,741
plest_0859,yrdb4558,741
plest_0860,yrdb4559,741
plest_0861,yrdb4560,741
plest_0862,yrdb4561,741
plest_0863,yrdb4562,1111
plest_0864,yrdb4563,1111
plest_0865,yrdb4564,612
plest_0866,yrdb4565,612
plest_0867,yrdb4566,612
plest_0868,yrdb4567,612
plest_0869,yrdb4568,612
plest_0870,yrdb4569,612
plest_0871,yrdb4570,741
plest_0872,yrdb4571,741
plest_0873,yrdb4572,741
plest_0874,yrdb4573,741
plest_0875,yrdb4574,741
