name_id,language,name,en_transliteration,yrdb_id,attestation
nm_406,en,baoan,,yrdb75,us_70120
nm_407,zh-cn,保安軍,,yrdb76,ds_1322
nm_408,en,baoan jun,,yrdb76,ds_1322
nm_409,zh-cn,保安堡,,yrdb77,us_80334
nm_410,en,baoan bao,,yrdb77,us_80334
nm_411,zh-cn,保安站,,yrdb78,us_70165
nm_412,en,baoan zhan,,yrdb78,us_70165
nm_413,zh-cn,保安鎮,,yrdb79,us_80154
nm_414,en,baoan zhen,,yrdb79,us_80154
nm_415,zh-cn,保定軍,,yrdb80,ds_1323
nm_416,en,baoding jun,,yrdb80,ds_1323
nm_417,zh-cn,信都,,yrdb81,ds_1236
nm_418,en,xindu,,yrdb81,ds_1236
nm_419,zh-cn,修武,,yrdb82,ds_1240
nm_420,en,xiuwu,,yrdb82,ds_1240
nm_421,zh-cn,倒回谷,,yrdb83,us_70385
nm_422,en,daohui gu,,yrdb83,us_70385
nm_423,zh-cn,偃師,,yrdb84,ds_1257
nm_424,en,yanshi,,yrdb84,ds_1257
nm_425,zh-cn,偃師,,yrdb84,us_40181
nm_426,en,yanshi,,yrdb84,us_40181
nm_427,zh-cn,偏關,,yrdb86,ds_449
nm_428,en,pian guan,,yrdb86,ds_449
nm_429,zh-cn,偏嶺口,,yrdb87,us_70110
nm_430,en,pianling kou,,yrdb87,us_70110
nm_431,zh-cn,偏橋鎮,,yrdb88,us_80152
nm_432,en,pianqiao zhen,,yrdb88,us_80152
nm_433,zh-cn,停口鎮,,yrdb89,us_70272
nm_434,en,tingkou zhen,,yrdb89,us_70272
nm_435,zh-cn,傅家莊,,yrdb90,ds_160
nm_436,en,fujia zhuang,,yrdb90,ds_160
nm_437,zh-cn,傅家灣,,yrdb91,ds_1687
nm_438,en,fujia wan,,yrdb91,ds_1687
nm_439,zh-cn,僧念堡,,yrdb92,us_80782
nm_440,en,sengnian bao,,yrdb92,us_80782
nm_441,zh-cn,僧樓鎮,,yrdb93,us_80899
nm_442,en,senglou zhen,,yrdb93,us_80899
nm_443,zh-cn,允街,,yrdb94,us_40046
nm_444,en,yunjie,,yrdb94,us_40046
nm_445,zh-cn,元城,,yrdb95,ds_1287
nm_446,en,yuan cheng,,yrdb95,ds_1287
nm_447,zh-cn,元城子,,yrdb96,us_80567
nm_448,en,yuanchengzi,,yrdb96,us_80567
nm_449,zh-cn,元里,,yrdb97,us_10084
nm_450,en,yuanli,,yrdb97,us_10084
nm_451,zh-cn,先俞,,yrdb98,us_10148
nm_452,en,xianyu,,yrdb98,us_10148
nm_453,zh-cn,光化,,yrdb99,ds_1376
nm_454,en,guanghua,,yrdb99,ds_1376
nm_455,zh-cn,光狼城,,yrdb100,us_10028
nm_456,en,guanglang cheng,,yrdb100,us_10028
nm_457,zh-cn,光祿城,,yrdb101,us_20109
nm_458,en,guanglu cheng,,yrdb101,us_20109
nm_459,zh-cn,光祿村,,yrdb102,ds_183
nm_460,en,guanglu cun,,yrdb102,ds_183
nm_461,zh-cn,兔兒阪鎮,,yrdb103,us_80711
nm_462,en,tuerban zhen,,yrdb103,us_80711
nm_463,zh-cn,兔源河,,yrdb104,ds_1740
nm_464,en,tuyuan he,,yrdb104,ds_1740
nm_465,zh-cn,兗,,yrdb105,ds_1255
nm_466,en,yan,,yrdb105,ds_1255
nm_467,zh-cn,兗,,yrdb105,ds_1538
nm_468,en,yan,,yrdb105,ds_1538
nm_469,zh-cn,黨原,,yrdb107,us_80556
nm_470,en,dangyuan,,yrdb107,us_80556
nm_471,zh-cn,黨家腰崄,,yrdb108,us_80572
nm_472,en,dangjiayaoxian,,yrdb108,us_80572
nm_473,zh-cn,黨山鋪,,yrdb109,us_81097
nm_474,en,dangshan pu,,yrdb109,us_81097
nm_475,zh-cn,八十家子,,yrdb110,us_81063
nm_476,en,bashijiazi,,yrdb110,us_81063
nm_477,zh-cn,八堡,,yrdb111,ds_10
nm_478,en,ba bao,,yrdb111,ds_10
nm_479,zh-cn,八政堡,,yrdb112,us_80936
nm_480,en,bazheng bao,,yrdb112,us_80936
nm_481,zh-cn,八柳樹,,yrdb113,ds_15
nm_482,en,baliushu,,yrdb113,ds_15
nm_483,zh-cn,八柳樹,,yrdb113,ds_16
nm_484,en,baliushu,,yrdb113,ds_16
nm_485,zh-cn,八柳樹,,yrdb113,ds_17
