evtp_id,place_id,event,attestation
evtp_482,yrdb1353,ev_1767,ds_364
evtp_483,yrdb1353,ev_1768,ds_364
evtp_484,yrdb1353,ev_1772,ds_364
evtp_485,yrdb1353,ev_1791,ds_364
evtp_486,yrdb1353,ev_1792,ds_364
evtp_487,yrdb1353,ev_1829,ds_364
evtp_488,yrdb1353,ev_1829,ds_364
evtp_489,yrdb1353,ev_1834,ds_364
evtp_490,yrdb1353,ev_1905,ds_364
evtp_491,yrdb1353,ev_1927,ds_364
evtp_492,yrdb1353,ev_1962,ds_364
evtp_493,yrdb1353,ev_1965,ds_364
evtp_494,yrdb1353,ev_1965,ds_364
evtp_495,yrdb1353,ev_1976,ds_364
evtp_496,yrdb1353,ev_2095,ds_364
evtp_497,yrdb1353,ev_2217,ds_364
evtp_498,yrdb1353,ev_2220,ds_364
evtp_499,yrdb1353,ev_2224,ds_364
evtp_500,yrdb1353,ev_2230,ds_364
evtp_501,yrdb1353,ev_2338,ds_364
evtp_502,yrdb1353,ev_2612,ds_364
evtp_503,yrdb123,ev_3041,ds_365
evtp_504,yrdb127,ev_2502,ds_1
evtp_505,yrdb128,ev_1422,ds_1076
evtp_506,yrdb1053,ev_1422,ds_1076
evtp_507,yrdb130,ev_542,ds_366
evtp_508,yrdb131,ev_124,ds_1711
evtp_509,yrdb133,ev_3155,ds_1046
evtp_510,yrdb133,ev_2220,ds_1046
evtp_511,yrdb133,ev_3285,ds_1046
evtp_512,yrdb133,ev_3711,ds_1046
evtp_513,yrdb133,ev_3695,ds_1046
evtp_514,yrdb133,ev_2983,ds_60
evtp_515,yrdb3175,ev_2983,ds_60
evtp_516,yrdb134,ev_1358,ds_1438
evtp_517,yrdb134,ev_1556,ds_1438
evtp_518,yrdb134,ev_1728,ds_1438
evtp_519,yrdb134,ev_1895,ds_1438
evtp_520,yrdb134,ev_2805,ds_1438
evtp_521,yrdb134,ev_2839,ds_1438
evtp_522,yrdb134,ev_2848,ds_1438
evtp_523,yrdb134,ev_3147,ds_1438
evtp_524,yrdb134,ev_3330,ds_1438
