ptatt_id,place_id,attestation_id
ptatt_705,yrdb577,us_40044
ptatt_706,yrdb577,us_40057
ptatt_707,yrdb577,us_30051
ptatt_708,yrdb577,us_20120
ptatt_709,yrdb577,us_20204
ptatt_710,yrdb577,us_30107
ptatt_711,yrdb579,ds_240
ptatt_712,yrdb582,ds_1088
ptatt_713,yrdb582,ds_945
ptatt_714,yrdb583,us_81117
ptatt_715,yrdb584,ds_688
ptatt_716,yrdb585,us_70219
ptatt_717,yrdb586,ds_689
ptatt_718,yrdb587,ds_1164
ptatt_719,yrdb587,ds_1517
ptatt_720,yrdb588,us_80978
ptatt_721,yrdb589,ds_1219
ptatt_722,yrdb590,us_70135
ptatt_723,yrdb591,ds_580
ptatt_724,yrdb591,ds_1218
ptatt_725,yrdb592,ds_690
ptatt_726,yrdb593,us_80773
ptatt_727,yrdb594,us_40073
ptatt_728,yrdb595,us_80170
ptatt_729,yrdb596,ds_1436
ptatt_730,yrdb597,us_80341
ptatt_731,yrdb598,us_30075
ptatt_732,yrdb599,us_80598
ptatt_733,yrdb599,us_81078
ptatt_734,yrdb600,us_80991
ptatt_735,yrdb601,us_81022
ptatt_736,yrdb602,ds_93
ptatt_737,yrdb603,ds_902
ptatt_738,yrdb604,us_80838
ptatt_739,yrdb606,ds_486
ptatt_740,yrdb606,ds_960
ptatt_741,yrdb606,ds_116
ptatt_742,yrdb606,ds_890
ptatt_743,yrdb606,ds_1287
ptatt_744,yrdb606,ds_1345
ptatt_745,yrdb608,ds_850
ptatt_746,yrdb609,ds_99
ptatt_747,yrdb610,us_70210
ptatt_748,yrdb610,us_80433
ptatt_749,yrdb611,us_40204
ptatt_750,yrdb611,us_20189
ptatt_751,yrdb613,us_30037
ptatt_752,yrdb614,ds_389
ptatt_753,yrdb615,ds_1343
ptatt_754,yrdb616,ds_101
ptatt_755,yrdb617,us_70145
ptatt_756,yrdb618,ds_102
ptatt_757,yrdb619,us_80351
ptatt_758,yrdb620,us_80828
ptatt_759,yrdb620,us_80844
ptatt_760,yrdb621,us_70160
ptatt_761,yrdb622,us_80196
ptatt_762,yrdb623,us_70354
ptatt_763,yrdb623,us_70470
ptatt_764,yrdb624,us_80808
