ev_t_typ_id,Event ID,EventType Chinese
1292,980,evtype_18
1293,981,evtype_4
1294,981,evtype_1
1295,982,evtype_1
1296,983,evtype_1
1297,984,evtype_1
1298,985,evtype_1
1299,986,evtype_1
1300,987,evtype_1
1301,987,evtype_2
1302,988,evtype_1
1303,989,evtype_2
1304,989,evtype_1
1305,990,evtype_1
1306,991,evtype_2
1307,991,evtype_1
1308,991,evtype_4
1309,992,evtype_2
1310,993,evtype_1
1311,994,evtype_2
1312,994,evtype_16
1313,994,evtype_11
1314,995,evtype_2
1315,996,evtype_2
1316,997,evtype_11
1317,998,evtype_11
1318,999,evtype_1
1319,1000,evtype_2
1320,1001,evtype_16
1321,1001,evtype_11
1322,1002,evtype_11
1323,1002,evtype_16
1324,1003,evtype_16
1325,1003,evtype_17
1326,1004,evtype_2
1327,1005,evtype_11
1328,1006,evtype_16
1329,1007,evtype_2
1330,1008,evtype_11
1331,1009,evtype_11
1332,1010,evtype_6
1333,1010,evtype_18
1334,1011,evtype_11
1335,1012,evtype_16
1336,1013,evtype_2
1337,1014,evtype_4
1338,1014,evtype_1
1339,1015,evtype_17
1340,1015,evtype_3
1341,1016,evtype_1
1342,1016,evtype_2
1343,1017,evtype_16
1344,1017,evtype_8
1345,1018,evtype_4
1346,1018,evtype_1
1347,1018,evtype_2
1348,1019,evtype_2
1349,1019,evtype_1
