name_id,name,ch_pinyin,yrdb_id,attestation
nm_0376,華池,huachi,yrdb300, us_80590
nm_0377,華谷城,huagu cheng,yrdb302,us_40292
nm_0378,華陰,huayin,yrdb303,us_40043
nm_0379,華陰,huayin,yrdb303, ds_991
nm_0380,卓家莊,zhuojia zhuang,yrdb305,ds_871
nm_0381,單縣,shan xian,yrdb306,ds_231
nm_0382,單縣,shan xian,yrdb306, ds_254
nm_0383,單縣,shan xian,yrdb306, ds_351
nm_0384,單縣,shan xian,yrdb306, ds_361
nm_0385,單縣,shan xian,yrdb306, ds_467
nm_0386,單縣,shan xian,yrdb306, ds_548
nm_0387,單縣,shan xian,yrdb306, ds_562
nm_0388,單縣,shan xian,yrdb306, ds_749
nm_0389,單縣,shan xian,yrdb306, ds_904
nm_0390,單縣,shan xian,yrdb306, ds_792
nm_0391,單家口,danjia kou,yrdb308,ds_108
nm_0392,單家莊,danjia zhuang,yrdb309,ds_110
nm_0393,單家樓,danjialou,yrdb310,ds_109
nm_0394,單州,dan zhou,yrdb311,ds_107
nm_0395,單州,dan zhou,yrdb311, ds_904
nm_0396,單父,danfu,yrdb312,ds_107
nm_0397,單父,danfu,yrdb312, ds_903
nm_0398,單路口,danlu kou,yrdb313,ds_111
nm_0399,南樂,nanle,yrdb314,ds_1092
nm_0400,南京路,nanjing lu,yrdb315,ds_1626
nm_0401,南仁寨,nanren zhai,yrdb316,us_81008
nm_0402,南關,nan guan,yrdb317,us_80775
nm_0403,南關,nan guan,yrdb317, ds_425
nm_0404,南劍州,nanjian zhou,yrdb318,ds_1454
nm_0405,南華縣,nanhua xian,yrdb319,ds_1091
nm_0406,南大通堡,nandatong bao,yrdb320,us_80366
nm_0407,南大通堡,nandatong bao,yrdb320, us_70360
nm_0408,南宮,nan gong,yrdb322,ds_502
nm_0409,南宮,nan gong,yrdb322, ds_672
nm_0410,南宮,nan gong,yrdb322, ds_687
nm_0411,南宮,nan gong,yrdb322, ds_1089
nm_0412,南岸,nanan,yrdb323,ds_423
nm_0413,南川營,nanchuan ying,yrdb325,us_80323
nm_0414,南川營,nanchuan ying,yrdb325, us_70364
nm_0415,南平城,nanping cheng,yrdb326,us_40144
nm_0416,南康路,nankang lu,yrdb327,ds_1627
nm_0417,南村,nan cun,yrdb328,us_70372
nm_0418,南村,nan cun,yrdb328, us_80015
nm_0419,南柴堡,nanchai bao,yrdb330,us_80805
nm_0420,南樊寨,nanfan zhai,yrdb331,us_80912
nm_0421,南沙堤,nansha di,yrdb332,ds_426
nm_0422,南河廳,nanhe ting,yrdb333,ds_1090
nm_0423,南泉寨,nanquan zhai,yrdb334,us_81009
nm_0424,南泥灣,nanni wan,yrdb335,us_80117
nm_0425,南清河,nanqing he,yrdb336,ds_1719
nm_0426,南王村,nanwang cun,yrdb337,us_80869
nm_0427,南皮,nanpi,yrdb338,ds_1093
nm_0428,南直隸,nanzhili,yrdb339,ds_1628
nm_0429,南豫州,nanyu zhou,yrdb340,ds_1455
nm_0430,南陽,nanyang,yrdb341,ds_1095
nm_0431,南陽岡,nanyanggang,yrdb342,ds_427
nm_0432,南陽村,nanyang cun,yrdb343,us_80944
nm_0433,南青州,nanqing zhou,yrdb345,ds_1094
nm_0434,南頓,nandun,yrdb346,ds_424
nm_0435,南馬鎮,nanma zhen,yrdb347,us_80964
nm_0436,博興,boxing,yrdb348,ds_885
nm_0437,博州,bo zhou,yrdb349,ds_1331
nm_0438,博平,boping,yrdb350,ds_884
nm_0439,博望苑,bowang yuan,yrdb351,us_20087
nm_0440,博愛,boai,yrdb352,ds_883
nm_0441,博羅鄂博廟,boluoebo miao,yrdb353,us_81030
nm_0442,博陵坡,bolingpo,yrdb354,ds_40
nm_0443,盧氏,lushi,yrdb355,us_40036
nm_0444,盧溝堤,lugou di,yrdb356,ds_373
nm_0445,盧靈關,luling guan,yrdb357,us_80190
nm_0446,臥龍山,wolong shan,yrdb358,ds_657
nm_0447,衛南,weinan,yrdb359,ds_1504
nm_0448,衛縣,wei xian,yrdb360,ds_1192
nm_0449,衛州,wei zhou,yrdb361,ds_628
nm_0450,衛州,wei zhou,yrdb361, ds_1505
nm_0451,衛河,wei he,yrdb362,ds_1639
nm_0452,衛輝,weihui,yrdb363,ds_1191
nm_0453,衛輝府,weihui fu,yrdb364,ds_1007
nm_0454,衛輝路,weihui lu,yrdb365,ds_1010
nm_0455,衛輝路,weihui lu,yrdb365, ds_1653
nm_0456,卷縣,juan xian,yrdb366,ds_1037
nm_0457,歷亭縣,liting xian,yrdb367,ds_1052
nm_0458,歷城,li cheng,yrdb368,us_40195
nm_0459,歷城縣,licheng xian,yrdb369,ds_92
nm_0460,歷城縣,licheng xian,yrdb369, ds_211
nm_0461,歷城縣,licheng xian,yrdb369, ds_474
nm_0462,歷城縣,licheng xian,yrdb369, ds_495
nm_0463,歷城縣,licheng xian,yrdb369, ds_745
nm_0464,歷城縣,licheng xian,yrdb369, ds_1051
nm_0465,厭次,yanci,yrdb370,ds_1258
nm_0466,厚子鎮,houzi zhen,yrdb371,us_80250
nm_0467,厚畛子,houzhenzi,yrdb372,us_80234
nm_0468,原,yuan,yrdb373,us_10023
nm_0469,原鄉,yuan xiang,yrdb374,us_20171
