ptty_id,place_id,ft_id
ptty_1705,yrdb1791,yft_9
ptty_1706,yrdb1792,yft_24
ptty_1707,yrdb1793,yft_6
ptty_1709,yrdb1795,yft_14
ptty_171,yrdb182,yft_9
ptty_1711,yrdb1797,yft_18
ptty_1712,yrdb1798,yft_5
ptty_1713,yrdb1799,yft_32
ptty_1714,yrdb1800,yft_32
ptty_1715,yrdb1802,yft_17
ptty_1716,yrdb1802,yft_27
ptty_1717,yrdb1803,yft_13
ptty_1719,yrdb1805,yft_5
ptty_172,yrdb183,yft_9
ptty_1720,yrdb1806,yft_31
ptty_1721,yrdb1807,yft_20
ptty_1722,yrdb1807,yft_29
ptty_1723,yrdb1808,yft_5
ptty_1724,yrdb1809,yft_13
ptty_1725,yrdb1810,yft_5
ptty_1726,yrdb1811,yft_42
ptty_1727,yrdb1812,yft_5
ptty_1728,yrdb1813,yft_36
ptty_173,yrdb184,yft_10
ptty_1730,yrdb1815,yft_14
ptty_1731,yrdb1816,yft_5
ptty_1732,yrdb1817,yft_33
ptty_1733,yrdb1818,yft_6
ptty_1734,yrdb1819,yft_47
ptty_1735,yrdb1820,yft_47
ptty_1736,yrdb1821,yft_32
ptty_1737,yrdb1822,yft_41
ptty_174,yrdb185,yft_33
ptty_1742,yrdb1828,yft_9
ptty_1744,yrdb1830,yft_42
ptty_1745,yrdb1831,yft_36
ptty_1746,yrdb1832,yft_15
ptty_1747,yrdb1833,yft_9
ptty_1748,yrdb1834,yft_33
ptty_1749,yrdb1835,yft_5
ptty_175,yrdb186,yft_14
ptty_1750,yrdb1837,yft_14
ptty_1751,yrdb1838,yft_13
ptty_1753,yrdb1840,yft_13
ptty_1756,yrdb1843,yft_39
ptty_1757,yrdb1844,yft_5
ptty_1759,yrdb1846,yft_9
ptty_176,yrdb187,yft_30
ptty_1760,yrdb1847,yft_32
ptty_1762,yrdb1850,yft_45
ptty_1763,yrdb1852,yft_4
ptty_1765,yrdb1855,yft_2
ptty_1766,yrdb1856,yft_5
ptty_1767,yrdb1857,yft_32
ptty_1769,yrdb1859,yft_6
ptty_177,yrdb188,yft_9
ptty_1770,yrdb1861,yft_9
ptty_1772,yrdb1864,yft_10
ptty_1773,yrdb1865,yft_32
ptty_1775,yrdb1867,yft_3
ptty_1776,yrdb1868,yft_2
ptty_1777,yrdb1869,yft_6
ptty_1778,yrdb1870,yft_6
ptty_1779,yrdb1872,yft_34
ptty_178,yrdb189,yft_9
ptty_1780,yrdb1873,yft_33
ptty_1781,yrdb1874,yft_47
ptty_1782,yrdb1875,yft_11
ptty_1783,yrdb1876,yft_17
ptty_1784,yrdb1876,yft_27
ptty_1786,yrdb1878,yft_35
ptty_1788,yrdb1881,yft_5
ptty_1789,yrdb1882,yft_11
ptty_179,yrdb190,yft_14
ptty_1790,yrdb1883,yft_31
